REP	10880	364	658	678	AG0004	AG006	BR0026	CD0142	CL0026	CL3.6.7	E-TZA-21-	E-TZA-70	E-UGD-47	GY0040	JUM1	KA2-1-1	KE491	MC0016	Nich-2-3-2	Nich-2-7-4	NP0041	Sar-2-20-1	Sar-AD3-5	TN0001	TN0002	TN0090	US0031	US0041	US0098	VO104	VO108	VO113
r1	0.23783587326076044	0.24463905813321116	0.24880543915631273	0.24942099547467594	0.24506651958064055	0.24506383106277851	0.24586572365313897	0.24824732306971445	0.2445722503964405	0.24885468067182195	0.2503558882833305	0.24867700897398934	0.2472327921792933	0.23912120957170457	0.2502245950399987	0.2493685352584202	0.2507491108179364	0.24529561218113166	0.23611864621637604	0.23750778551527038	0.2426623579122293	0.24136447588293342	0.23559960591128332	0.2504900057603695	0.24945744462646946	0.2504900057603695	0.2500105872693344	0.24867084506738374	0.2456440986847656	0.24815311231654258	0.24780033852535932	0.24969864327397787
r2	0.25819043507339445	0.2584696620800183	0.2588745192369554	0.2591403706322921	0.25725030089303724	0.2527919474009324	0.25724147652717994	0.2581179758963916	0.25888348376463344	0.2590620716136867	0.2588800993758421	0.25904826657056873	0.2580973528088123	0.2585728188990265	0.2594101517237888	0.2580391127992355	0.259208490853623	0.2580786330405709	0.259344156102169	0.25989863328142937	0.2591403706322921	0.25747172092139836	0.2603074010650391	0.25861567111414513	0.2587215025688862	0.2588543576248027	0.2466894898316326	0.257719992325366	0.25781292292404795	0.2540812783640565	0.2458228322841245	0.24608459936037494
r3	0.1338119915519832	0.13299513833792823	0.13307295136082747	0.13299513833792823	0.13308442503017737	0.13307745290957002	0.13407240483111568	0.13373367245244785	0.132830638490165	0.1328078022548075	0.13337104614872305	0.1337893630702704	0.13278786641924464	0.1328078022548075	0.13428526737613716	0.13373367245244785	0.13394446587769315	0.1333845362463258	0.13394361737352223	0.13405519151554018	0.13264258677710813	0.1328298877719936	0.13392132492228048	0.13376834523526376	0.13395610340495043	0.13376834523526376	0.13354944390402024	0.13411983283686846	0.1330971220170359	0.13375592968363065	0.13337002120459954	0.13337002120459954
r4	0.21884151789004688	0.22186459442723241	0.2230033278167412	0.22274225342414744	0.2175990111570275	0.21578368308793275	0.21767769058750708	0.2155600944452598	0.22033929723254408	0.220760956485316	0.2165299776159145	0.21430943547233575	0.22174968000217862	0.22210819105238278	0.21685741981259757	0.21499413857355132	0.21457211715774144	0.2164304432788684	0.2183528846554371	0.2191308095804629	0.22074351170401113	0.22168248219439865	0.2197152749857821	0.2155600944452598	0.2159330544226818	0.2153586994796813	0.21932973976503423	0.2121376565448853	0.21646704772219588	0.2156526103002434	0.19080051182508553	0.22105706478917475
r5	0.2258826047048656	0.22032772112482826	0.22039702637609257	0.22166791372352848	0.1906910033245538	0.18931290075456192	0.19315164078896924	0.19327145834109344	0.20884882965432314	0.2083162019803999	0.19258146262216527	0.19075599804725835	0.20855708404057452	0.22425205609435944	0.2188073032913956	0.19248895054378043	0.193221747292925	0.1910925750657824	0.2197928112188956	0.22183080444979053	0.2071515828039741	0.22292250245737313	0.2157093150982863	0.1924786292419722	0.19650550242026912	0.1976264550555262	0.19322402093305063	0.22686590606286808	0.19111281369877745	0.19217266599023664	0.19485176537571733	0.192404147990496
r6	0.07428101947698208	0.0751179281432898	0.0748014914184968	0.07495079593114408	0.07441826688798078	0.07459736588908451	0.07425279416977001	0.07494434716602141	0.07544653917030543	0.07493864854813634	0.07438950918763958	0.07424492661930064	0.07511222952540479	0.07510575279001319	0.07461018385274343	0.07510575279001319	0.07425695366889097	0.07481362049349352	0.0742930582392883	0.07424492661930064	0.07476512781066692	0.07464003951622508	0.07463364455121813	0.07425695366889097	0.07424492661930064	0.07424492661930064	0.0747587113046251	0.07511222952540479	0.07498080651621504	0.07544008393411918	0.07460945485179149	0.0747587113046251
r7	0.0487871371583986	0.049154948204556216	0.048432689231497135	0.048432689231497135	0.049163965275571035	0.0489535113096434	0.0492647083701718	0.04806971280902258	0.0493367663883779	0.048791510063895094	0.04888085956940347	0.04879592934917999	0.048791510063895094	0.04896879020308514	0.048609890011044515	0.048246847700667596	0.04897319611240586	0.04934128479317431	0.04863962530045623	0.04844110297904988	0.048432689231497135	0.04897319611240586	0.048432689231497135	0.04879592934917999	0.04879592934917999	0.04898170729240067	0.048791510063895094	0.048609890011044515	0.0493367663883779	0.04825116808228973	0.04896879020308514	0.048791510063895094
r8	0.04626139389804291	0.04644903027359408	0.04590249982706684	0.04590249982706684	0.04627368395744549	0.04627368395744549	0.04656953221269388	0.044806869557472755	0.04681640721885074	0.04608192306180165	0.04572312416608636	0.04553973887153107	0.04608192306180165	0.04626544297577242	0.04608192306180165	0.04498607728313037	0.04571908089617652	0.04645733868861964	0.04611033059699162	0.045910578138656004	0.04590249982706684	0.046632685004768165	0.04590249982706684	0.04553973887153107	0.04553973887153107	0.04572712555908927	0.04553572922562167	0.04608192306180165	0.04645316067567684	0.0449899862048226	0.04571508518767961	0.04553572922562167
r9	0.03614514595466991	0.035751889802704676	0.035606508429655744	0.03560032320888526	0.035575603805860286	0.035411657141099666	0.03579074784560376	0.03686099961875718	0.0357797597799839	0.03594070173878322	0.03681875772875086	0.036735398933045366	0.036104600159271215	0.035581780436846934	0.036854589565566774	0.036848181742094525	0.03684810606481414	0.03595620241103367	0.036138864008635176	0.036151430085712914	0.03595620241103367	0.03594070173878322	0.03613258424646896	0.036684288620642	0.036677909832876956	0.03686092382017321	0.03631214420964618	0.03649180644657748	0.035767331412833836	0.036848181742094525	0.036305834426652805	0.03648231147636672
r10	0.20688001195204353	0.2084292886555319	0.21230094500913024	0.2159246748688519	0.20255701541485957	0.20443899498519694	0.19987368600722824	0.20958254697779125	0.20477773005316646	0.2048498164008303	0.20121555845711625	0.2018168248641962	0.21533833678134748	0.20510503669695937	0.2160312097066238	0.1973988240908568	0.2020809086509006	0.20707374865728578	0.20619049443131662	0.20879734741686024	0.20241543538295992	0.2093196742011596	0.20716265999611122	0.20021599602440004	0.20163027655343252	0.2003665759584527	0.17130250043497391	0.2030422984461825	0.1756744725781465	0.19411215664909995	0.18686261934680828	0.19083961732273247
