#name, mChrA_Absence, mChrA_Presence
NODE_0000000, 0.9948039099288082, 0.005196090071191768
SA05-43, 1.0, 0.0
NA, 0.9982855906751853, 0.0017144093248147919
NODE_0000002, 0.9988277797264569, 0.0011722202735432847
NODE_0000003, 0.9995415227973382, 0.0004584772026618413
CH0063, 1.0, 0.0
NODE_0000004, 0.9996130467669782, 0.0003869532330218572
FJ43ZB15-68, 1.0, 0.0
NODE_0000005, 0.9996235450031382, 0.0003764549968617423
HN-0812-3, 0.9999999999999999, 0.0
NODE_0000006, 0.999658324644952, 0.0003416753550480612
90-4-1, 0.9999999999999999, 0.0
CH0689, 0.9999999999999999, 0.0
NODE_0000007, 0.9950541716561435, 0.004945828343856333
NODE_0000008, 0.9991555613923623, 0.0008444386076377154
INA168, 1.0, 0.0
NODE_0000009, 0.9995234264560408, 0.00047657354395915717
NODE_0000010, 0.9995729849684696, 0.0004270150315302978
NODE_0000011, 0.9996537390081894, 0.0003462609918106825
CH0052, 1.0, 0.0
FJ86-CT, 1.0, 0.0
NODE_0000012, 0.999619585065191, 0.00038041493480901604
FJ81-SW, 1.0, 0.0
NODE_0000013, 0.9996579654909848, 0.0003420345090151768
JX-09Z116-1, 1.0, 0.0
JX10-102, 1.0, 0.0
NODE_0000014, 0.9996104388886211, 0.00038956111137901405
FJ78-JJ, 1.0, 0.0
NODE_0000015, 0.9996153844854931, 0.000384615514506956
JX11-141, 1.0, 0.0
NODE_0000016, 0.9995784504470617, 0.00042154955293827515
NODE_0000017, 0.9996167266244127, 0.0003832733755873402
FJ95054B, 1.0, 0.0
NODE_0000018, 0.9996239087413538, 0.0003760912586463343
ZJ2011-7-1, 1.0, 0.0
NODE_0000019, 0.9996583576348687, 0.00034164236513135166
ZJ00-10, 1.0, 0.0
ZJ08-41, 1.0, 0.0
NODE_0000020, 0.9996163876749108, 0.00038361232508911147
FJ81-MH, 0.9999999999999999, 0.0
NODE_0000021, 0.9996205070867761, 0.0003794929132240228
FJ81-ZP, 1.0, 0.0
NODE_0000022, 0.9996242824239373, 0.00037571757606272326
FJ81221ZB11-14, 1.0, 0.0
NODE_0000023, 0.9996583915267084, 0.0003416084732915974
GLHN3, 1.0, 0.0
GLHN4, 1.0, 0.0
NODE_0000024, 0.9600784139381767, 0.03992158606182341
NODE_0000025, 0.9957157151353075, 0.004284284864692455
BN0202, 1.0, 0.0
NODE_0000026, 0.9993038967174106, 0.0006961032825893908
E-UGD-49, 1.0, 0.0
W-BEN-9, 1.0, 0.0
NODE_0000027, 0.6439402755982396, 0.3560597244017602
NODE_0000028, 0.5559749419694335, 0.44402505803056647
NODE_0000029, 0.016597632261482243, 0.9834023677385177
AG0004, 0.0, 1.0
BR0026, 0.0, 1.0
NODE_0000030, 0.8056871134185789, 0.19431288658142118
NODE_0000031, 0.9048110682241377, 0.09518893177586225
AG032, 1.0, 0.0
TR0025, 0.8922046320746339, 0.107795367925366
NODE_0000032, 0.8460979025262174, 0.15390209747378253
PR0009, 1.0, 0.0
NODE_0000033, 0.7736821508867576, 0.22631784911324238
AG002, 1.0, 0.0
AG006, 0.0, 1.0
NODE_0000034, 0.590251784432483, 0.4097482155675169
NODE_0000035, 0.017615092088710513, 0.9823849079112894
MC0016, 0.0, 1.0
US0098, 0.0, 1.0
NODE_0000036, 0.9541862583367902, 0.045813741663209846
NODE_0000037, 0.9950933736123359, 0.004906626387664062
PR003, 1.0, 0.0
NODE_0000038, 0.9991767945850168, 0.0008232054149831513
IT0010, 1.0, 0.0
NODE_0000039, 0.9996178057814962, 0.0003821942185038264
AG039, 0.9999999999999999, 0.0
AG098, 0.9999999999999999, 0.0
NODE_0000040, 0.9944971341778988, 0.005502865822101343
NODE_0000041, 0.999026595156325, 0.0009734048436750736
NODE_0000042, 0.9996041831638209, 0.0003958168361790223
TW-12HL-DF1-2, 1.0, 0.0
TW-6-2-2-B-1, 1.0, 0.0
NODE_0000043, 0.9995608309708988, 0.0004391690291011956
HN0001, 1.0, 0.0
NODE_0000044, 0.9996103420312775, 0.0003896579687226105
FJ86061ZE3-39, 1.0, 0.0
NODE_0000045, 0.9995774480083027, 0.00042255199169723915
NODE_0000046, 0.9996541437919214, 0.0003458562080785177
E-BRD-1-, 0.9999999999999999, 0.0
E-RWD-41, 0.9999999999999999, 0.0
NODE_0000047, 0.9995743353191464, 0.00042566468085359076
NODE_0000048, 0.9996538614807656, 0.0003461385192343457
CH0860, 1.0, 0.0
YN072310, 1.0, 0.0
NODE_0000049, 0.9995785089363516, 0.00042149106364853546
NODE_0000050, 0.9996542400147722, 0.00034575998522791006
YN126311, 1.0, 0.0
YN126441, 1.0, 0.0
NODE_0000051, 0.9996201310858603, 0.00037986891413972675
13FM-9-1, 1.0, 0.0
NODE_0000052, 0.999658015013349, 0.0003419849866509092
13FM-3-2, 1.0, 0.0
YN072311, 1.0, 0.0
NODE_0000053, 0.9990154447547966, 0.0009845552452031957
NODE_0000054, 0.9995554933025095, 0.0004445066974904742
JS08-611, 1.0, 0.0
NODE_0000055, 0.9995722620897928, 0.000427737910207164
NODE_0000056, 0.9996195136117163, 0.00038048638828365705
E-RWD-43, 0.9999999999999999, 0.0
NODE_0000057, 0.9996579590103785, 0.00034204098962149526
82-0835, 1.0, 0.0
FJ81-JY, 1.0, 0.0
NODE_0000058, 0.9996157332734481, 0.0003842667265518679
JS09-138, 1.0, 0.0
NODE_0000059, 0.9996200724071613, 0.0003799275928386824
CH0092, 1.0, 0.0
NODE_0000060, 0.9996205386599722, 0.00037946134002780305
JS-10-6-1-2, 1.0, 0.0
